match_id,date,tournament,player1,player2,p1_odds,p2_odds,p1_sets_won,p2_sets_won
2025001,2025-08-16,Wimbledon,Daniil Medvedev,Andrey Rublev,3.95,2.74,1,2
2025002,2025-04-28,US Open,Daniil Medvedev,Andrey Rublev,3.72,2.1,3,1
2025003,2025-04-08,Roland Garros,Novak Djokovic,Stefanos Tsitsipas,3.91,3.87,3,3
2025004,2025-03-05,Australian Open,Andrey Rublev,Jannik Sinner,2.32,1.59,1,1
2025005,2025-08-10,Wimbledon,Andrey Rublev,Jannik Sinner,2.76,1.51,3,1
2025006,2025-04-12,US Open,Daniil Medvedev,Stefanos Tsitsipas,3.04,1.37,4,0
2025007,2025-09-24,Wimbledon,Carlos Alcaraz,Andrey Rublev,3.97,2.35,4,3
2025008,2025-05-11,Wimbledon,Andrey Rublev,Alexander Zverev,1.64,3.29,1,3
2025009,2025-04-15,Australian Open,Stefanos Tsitsipas,Alexander Zverev,3.95,1.73,3,3
2025010,2025-04-19,Australian Open,Holger Rune,Andrey Rublev,3.37,1.98,0,1
